                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000000E+005                  1.0000000000000000E+000                  5.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                     1534                  7.2512226448181213E-002                  7.1753622405374307E-002                  7.8129681613248313E-008                  9.9999999996556233E-001                  9.7375037336711867E-001                  7.1753622405374307E-002                  7.8129681613248313E-008                  9.9999999996556233E-001                  9.7375037336711867E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3627213731937107E-001                 -4.7171063921877206E+001                 -9.8999999999999986E+001                 -1.3627213731937141E-001                  3.7520090754151774E+000                  7.3510354922016130E-001                 -1.3365148038873315E-001                 -4.7585054572095421E-002                  4.5330594625573157E+000                  3.4123963013408582E+004                  7.1369174815575187E+000                  1.8897857013430810E+000                  1.7155937569096569E+001                  6.2027274125429566E-001                  8.4974701031613564E-001                  1.2973435769388182E+000                  6.9947090852764415E-001                  2.8037028704007033E-001                  2.9047797146801663E-003                  9.3604170246911131E-003                  3.4416106108119912E-003                  9.3604466091399986E-003                  6.9990698702435583E-001                  2.8001427965882014E-001                 -2.0127258114590491E-001                 -9.9323506768351189E-001                 -4.7171063921877206E+001                 -3.0074848503377647E-011                                        0                                        0 
                                       2                  2.2000000000000000E+005                  1.0000000000000000E+000                  5.0791812460476242E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      825                  7.2231196590583871E-002                  7.1753622405374529E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7352788724777883E-001                  7.1753622405374529E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7352788724777883E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3675752533536592E-001                 -4.7173896767864257E+001                 -1.5352529778863040E+001                 -1.3675752533536567E-001                  3.7517146739707301E+000                  7.3115416067641759E-001                 -1.3599104428369763E-001                 -4.8166033630681809E-002                  4.5342214206744886E+000                  3.4215384174772218E+004                  7.1369025568171089E+000                  1.8897714302086204E+000                  1.7155903831831157E+001                  6.2027612947988964E-001                  8.4974349707645891E-001                  1.2973531336850055E+000                  6.9946392173309702E-001                  2.8037568088215731E-001                  2.8945071845892494E-003                  9.3604163780127442E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990590625356131E-001                  2.8001489907179400E-001                 -2.0144512770976486E-001                 -9.9566319361697841E-001                 -4.7173896767864257E+001                 -2.8612386477926831E-011                                        0                                        0 
                                       3                  3.6400000000000000E+005                  1.0000000000000000E+000                  5.1583624920952493E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      816                  7.1340399105717281E-002                  7.0327937284822339E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7338782631037035E-001                  7.0327937284822339E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7338782631037035E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3735624322142698E-001                 -4.7176820395880561E+001                 -1.5653559774527022E+001                 -1.3735624322142684E-001                  3.7515167610798095E+000                  7.2784388892749385E-001                 -1.3796176003813762E-001                 -4.8755565726061274E-002                  4.5354004848652476E+000                  3.4308401580865313E+004                  7.1368502492863302E+000                  1.8896470376016055E+000                  1.7155725053575694E+001                  6.2028032577939785E-001                  8.4973925426274677E-001                  1.2973646710258657E+000                  6.9945549150749042E-001                  2.8038220478133269E-001                  2.8820714032907380E-003                  9.3604155913495912E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990461113425084E-001                  2.8001564199161355E-001                 -2.0169281634164188E-001                 -9.9845387048130074E-001                 -4.7176820395880561E+001                 -2.4169173222161710E-011                                        0                                        0 
                                       4                  5.3680000000000000E+005                  1.0000000000000000E+000                  5.2375437381428744E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      816                  7.0601671542805403E-002                  7.0327937284822339E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7325686167279746E-001                  7.0327937284822339E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7325686167279746E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3799170352666465E-001                 -4.7180757069320812E+001                 -1.5352529778863040E+001                 -1.3799170352666440E-001                  3.7513125612215910E+000                  7.2440802247086944E-001                 -1.4001674872857925E-001                 -4.9374660354844432E-002                  4.5366386741228135E+000                  3.4406355642157243E+004                  7.1367792201264111E+000                  1.8894986660135429E+000                  1.7155502382582263E+001                  6.2028529507722274E-001                  8.4973417817294061E-001                  1.2973784872066414E+000                  6.9944538356648556E-001                  2.8038997984415909E-001                  2.8672771344467191E-003                  9.3604146515657693E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990306004127223E-001                  2.8001653357582557E-001                 -2.0187690156697299E-001                 -1.0019268730460154E+000                 -4.7180757069320812E+001                 -2.1125977772437812E-011                                        0                                        0 
                                       5                  7.4415999999999988E+005                  1.0000000000000000E+000                  5.3167249841904987E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      813                  6.9824938119711202E-002                  6.8914403071731911E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7312899603876890E-001                  6.8914403071731911E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7312899603876890E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3884040332208630E-001                 -4.7185841560451635E+001                 -1.5477468515471340E+001                 -1.3884040332208611E-001                  3.7510928158347778E+000                  7.2077869135117367E-001                 -1.4219806104868521E-001                 -5.0025825741271852E-002                  4.5379410048956688E+000                  3.4509685776393504E+004                  7.1366863340605420E+000                  1.8893446405948917E+000                  1.7155249334771643E+001                  6.2029122068344356E-001                  8.4972805571222210E-001                  1.2973951478124037E+000                  6.9943319680289606E-001                  2.8039936713091035E-001                  2.8494325765711739E-003                  9.3604135108030870E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990120316512450E-001                  2.8001760323307712E-001                 -2.0217737648120498E-001                 -1.0062510901413766E+000                 -4.7185841560451635E+001                 -1.8493708171377671E-011                                        0                                        0 
                                       6                  9.9299199999999988E+005                  1.0000000000000000E+000                  5.3959062302381238E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      813                  6.8833850080632197E-002                  6.6106610512655206E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7299674219995880E-001                  6.6106610512655206E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7299674219995880E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3988140683009437E-001                 -4.7192345612363653E+001                 -1.5954589770191003E+001                 -1.3988140683009431E-001                  3.7508595191044574E+000                  7.1700801160808536E-001                 -1.4447599164357539E-001                 -5.0698197578076420E-002                  4.5392857485692781E+000                  3.4616706713319531E+004                  7.1365660101847608E+000                  1.8891938124716305E+000                  1.7154970920386990E+001                  6.2029848344355831E-001                  8.4972067755348046E-001                  1.2974152259251375E+000                  6.9941850781825177E-001                  2.8041067996159191E-001                  2.8279626246812566E-003                  9.3604121281186618E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9989898152953189E-001                  2.8001888651374696E-001                 -2.0254590673093692E-001                 -1.0115997102353866E+000                 -4.7192345612363653E+001                 -1.5892871209710719E-011                                        0                                        0 
                                       7                  1.2915903999999997E+006                  1.0000000000000000E+000                  5.4750874762857489E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      813                  6.7685299550254846E-002                  6.6106610512655206E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7283169775274969E-001                  6.6106610512655206E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7283169775274969E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4089486336059032E-001                 -4.7200364291253877E+001                 -9.8999999999999986E+001                 -1.4089486336059043E-001                  3.7506072633703464E+000                  7.1310065066343531E-001                 -1.4684916728317590E-001                 -5.1380273929654427E-002                  4.5406499012724337E+000                  3.4725611427634663E+004                  7.1364166451002049E+000                  1.8890381669204028E+000                  1.7154661425224358E+001                  6.2030713540847338E-001                  8.4971187217394573E-001                  1.2974392095029359E+000                  6.9940093017909422E-001                  2.8042413177801262E-001                  2.8026102965360211E-003                  9.3604104837391993E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9989632642897004E-001                  2.8002042841426988E-001                 -2.0271687008295436E-001                 -1.0180804590193391E+000                 -4.7200364291253877E+001                 -1.3417897933646659E-011                                        0                                        0 
                                       8                  1.6499084799999995E+006                  1.0000000000000000E+000                  5.5542687223333731E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      813                  6.6435601015441798E-002                  6.6106610512655206E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7265861263087194E-001                  6.6106610512655206E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7265861263087194E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4196492509860886E-001                 -4.7210199521433083E+001                 -1.5954589770191003E+001                 -1.4196492509860878E-001                  3.7503405471464730E+000                  7.0918622104951368E-001                 -1.4923971100159883E-001                 -5.2042113341119141E-002                  4.5419735800953633E+000                  3.4831612490096639E+004                  7.1362323615289576E+000                  1.8888812441801059E+000                  1.7154313188950880E+001                  6.2031746020590883E-001                  8.4970137428341941E-001                  1.2974678116216971E+000                  6.9937993281435273E-001                  2.8044015158218155E-001                  2.7727719758837929E-003                  9.3604085320501147E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9989315698527921E-001                  2.8002228329421464E-001                 -2.0276323473379937E-001                 -1.0259023045045534E+000                 -4.7210199521433083E+001                 -1.0836527922908965E-011                                        0                                        0 
                                       9                  2.0798901759999995E+006                  1.0000000000000000E+000                  5.6334499683809982E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      813                  6.5228904463233761E-002                  6.3318093820682875E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7247855863324417E-001                  6.3318093820682875E-002                  7.8129681613248181E-008                  9.9999999996478117E-001                  9.7247855863324417E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4357967909626915E-001                 -4.7222005509404674E+001                 -1.5176438519807359E+001                 -1.4357967909626873E-001                  3.7500705248828292E+000                  7.0547561575075834E-001                 -1.5151799272168970E-001                 -5.2641209673875908E-002                  4.5431717727608767E+000                  3.4927843525732787E+004                  7.1360084823212642E+000                  1.8887678668245074E+000                  1.7153966415665611E+001                  6.2032992423747413E-001                  8.4968865141854177E-001                  1.2975024243981534E+000                  6.9935454493339688E-001                  2.8045969288085909E-001                  2.7366494081710268E-003                  9.3604061380264982E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9988937490522141E-001                  2.8002451084782964E-001                 -2.0321310300860154E-001                 -1.0353498301386639E+000                 -4.7222005509404674E+001                 -8.1655562586158451E-012                                        0                                        0 
